timestamp,AKBNK.E_price_change,ISCTR.E_entry_price,..seconds_later,ISCTR.E_exit_price,return
2022-09-13_14:37:45.000000,2.0531400966183666,11400,5.0,11400,0.0
2022-09-13_14:37:46.000000,1.3930950938825015,11400,5.0,11400,0.0
2022-09-13_14:37:47.000000,0.726832222895224,11400,5.0,11400,0.0
2022-09-13_14:37:48.000000,1.0902483343428138,11400,5.0,11400,0.0
2022-09-13_14:37:52.000000,0.6642512077294604,11400,5.0,11400,0.0
2022-09-13_14:37:53.000000,0.5454545454545379,11400,5.0,11400,0.0
2022-09-13_14:37:54.000000,0.6049606775559546,11400,5.0,11400,0.0
2022-09-13_14:38:01.000000,0.5454545454545379,11400,5.0,11400,0.0
2022-09-13_14:38:10.000000,0.8547008547008517,11400,5.0,11400,0.0
2022-09-13_14:38:19.000000,0.971463266545225,11400,5.0,11400,0.0
2022-09-13_14:38:20.000000,0.5421686746987842,11400,5.0,11400,0.0
2022-09-13_14:38:24.000000,1.57384987893463,11400,5.0,11400,0.0
2022-09-13_14:38:29.000000,1.090909090909098,11400,5.0,11400,0.0
2022-09-13_14:38:31.000000,1.338199513381988,11400,5.0,11400,0.0
2022-09-13_14:38:34.000000,0.7826610475617057,11400,5.0,11400,0.0
2022-09-13_14:39:12.000000,1.603948180135717,11320,5.0,11350,0.26501766784452485
2022-09-13_14:39:14.000000,0.5501222493887514,11310,0.733532,11350,0.35366931918656697
2022-09-13_14:39:22.000000,1.1677934849416038,11320,5.0,11320,0.0
2022-09-13_14:39:41.000000,0.5524861878453136,11300,5.0,11300,0.0
2022-09-13_14:39:42.000000,0.6138735420503361,11300,5.0,11300,0.0
2022-09-13_14:39:44.000000,0.6752608962553808,11300,5.0,11300,0.0
2022-09-13_14:39:54.000000,0.5524861878453136,11300,5.0,11300,0.0
2022-09-13_14:39:56.000000,0.7398273736128225,11300,5.0,11300,0.0
2022-09-13_14:39:59.000000,0.5545286506469571,11300,5.0,11300,0.0
2022-09-13_14:40:05.000000,0.619962802231866,11300,5.0,11300,0.0
2022-09-13_14:40:08.000000,0.6195786864931829,11300,5.0,11300,0.0
2022-09-13_14:40:11.000000,0.7448789571694592,11300,5.0,11300,0.0
2022-09-13_14:40:15.000000,1.0585305105853093,11300,5.0,11300,0.0
2022-09-14_07:00:00.000000,0.5148005148005064,11300,0.125469,10630,-5.929203539823014
2022-09-14_07:00:04.000000,0.838709677419347,10580,0.04635,10620,0.3780718336483968
2022-09-14_07:00:05.000000,0.5817711700064621,10620,0.025906,10550,-0.6591337099811634
2022-09-14_07:00:07.000000,0.5177993527508029,10610,0.016897,10570,-0.37700282752121117
2022-09-14_07:00:08.000000,0.5829015544041471,10600,0.030841,10550,-0.4716981132075526
2022-09-14_07:00:09.000000,0.5829015544041471,10550,0.123231,10510,-0.37914691943128354
2022-09-14_07:00:12.000000,1.0457516339869244,10550,0.085216,10500,-0.4739336492891044
2022-09-14_07:00:13.000000,1.0457516339869244,10500,0.13977,10550,0.4761904761904745
2022-09-14_07:00:14.000000,0.8496732026143761,10600,0.235664,10560,-0.37735849056603765
2022-09-14_07:00:15.000000,0.7189542483660105,10500,0.107082,10600,0.952380952380949
2022-09-14_07:00:16.000000,0.6535947712418277,10510,0.022397,10600,0.8563273073263655
2022-09-14_07:00:17.000000,0.6535947712418277,10600,0.069313,10550,-0.4716981132075526
2022-09-14_07:00:18.000000,0.6535947712418277,10600,0.003727,10560,-0.37735849056603765
2022-09-14_07:00:19.000000,0.588235294117645,10590,0.034951,10550,-0.37771482530689626
2022-09-14_07:00:20.000000,0.588235294117645,10550,0.589849,10590,0.37914691943128354
2022-09-14_07:00:25.000000,0.5901639344262355,10520,0.274987,10590,0.665399239543718
2022-09-14_07:00:26.000000,0.5256241787122251,10550,5.0,10530,-0.18957345971564177
2022-09-14_07:00:49.000000,0.5369127516778427,10550,5.0,10560,0.09478672985780978
2022-09-14_07:00:55.000000,0.7442489851150258,10560,0.170968,10520,-0.37878787878787845
2022-09-14_07:17:55.000000,0.6089309878213767,10390,0.347466,10430,0.38498556304138454
2022-09-14_07:18:21.000000,0.5308560053085554,10460,5.0,10490,0.2868068833651982
2022-09-14_07:18:41.000000,0.5252790544977071,10510,5.0,10520,0.09514747859182826
2022-09-14_07:18:45.000000,0.7241606319947413,10530,5.0,10550,0.18993352326686086
2022-09-14_07:18:46.000000,0.660066006600668,10520,0.875496,10560,0.3802281368821214
2022-09-14_07:18:47.000000,0.7894736842105177,10520,0.875496,10560,0.3802281368821214
2022-09-14_07:18:48.000000,0.9180327868852478,10550,5.0,10570,0.18957345971564177
2022-09-14_07:20:16.000000,0.5305039787798504,10590,0.454486,10630,0.37771482530688516
2022-09-14_07:46:29.000000,0.6925207756232732,10290,5.0,10300,0.09718172983479434
2022-09-14_07:46:55.000000,0.5449591280654031,10300,5.0,10290,-0.0970873786407811
2022-09-14_07:51:11.000000,1.4799154334038,10170,5.0,10170,0.0
2022-09-14_07:51:34.000000,2.2535211267605604,10170,5.0,10170,0.0
2022-09-14_07:51:35.000000,2.7445460942997935,10170,5.0,10170,0.0
2022-09-14_11:29:24.000000,0.6830601092896238,10170,5.0,10170,0.0
2022-09-14_12:01:13.000000,0.6973500697350143,10170,5.0,10170,0.0
2022-09-15_07:00:00.000000,0.8415147265077083,10170,0.171228,9810,-3.539823008849563
2022-09-15_07:00:01.000000,0.5594405594405494,9830,0.002419,9890,0.6103763987792554
2022-09-15_07:00:02.000000,0.7708479327259932,9830,0.123827,9870,0.4069175991861629
2022-09-15_07:47:15.000000,0.5079825834542806,9820,0.995701,9850,0.3054989816700715
2022-09-15_07:48:28.000000,0.5079825834542806,9840,0.279476,9810,-0.3048780487804881
2022-09-15_07:48:29.000000,0.5839416058394109,9840,0.279476,9810,-0.3048780487804881
2022-09-15_07:48:51.000000,0.5098324836125379,9850,5.0,9840,-0.10152284263958977
2022-09-15_08:11:47.000000,0.6106870229007688,9310,5.0,9310,0.0
2022-09-15_08:31:18.000000,0.7692307692307665,9210,5.0,9210,0.0
2022-09-15_11:42:08.000000,0.6125574272588086,9160,5.0,9160,0.0
2022-09-16_07:00:00.000000,0.7544006705783701,9160,0.144266,8580,-6.33187772925764
2022-09-16_07:00:01.000000,0.8403361344537785,8530,0.465411,8500,-0.3516998827667095
2022-09-16_07:00:02.000000,0.6711409395973256,8500,0.00671,8530,0.3529411764705781
2022-09-16_07:00:03.000000,0.6711409395973256,8540,0.290628,8510,-0.3512880562060894
2022-09-16_07:00:04.000000,0.7556675062972307,8550,0.172879,8510,-0.4678362573099393
2022-09-16_07:00:05.000000,0.7556675062972307,8540,0.03665,8510,-0.3512880562060894
2022-09-16_07:00:06.000000,0.5892255892255838,8550,0.169856,8520,-0.35087719298245723
2022-09-16_07:00:07.000000,0.6739679865206405,8550,0.395507,8500,-0.5847953216374324
