timestamp,YKBNK.E_price_change,AKBNK.E_entry_price,..seconds_later,AKBNK.E_exit_price,return
2022-02-14_07:00:04.000000,0.5012531328320913,7970,5.0,7970,0.0
2022-02-14_07:00:20.000000,0.49999999999998934,7970,5.0,7970,0.0
2022-02-14_07:18:12.000000,0.49999999999998934,7950,5.0,7950,0.0
2022-02-16_07:04:04.000000,0.4889975550122161,8100,5.0,8090,-0.12345679012345512
2022-02-16_08:20:20.000000,0.4901960784313708,8110,5.0,8100,-0.12330456226880004
2022-02-17_08:35:23.000000,0.4975124378109541,7910,5.0,7900,-0.12642225031606058
2022-02-17_08:53:05.000000,0.496277915632759,7910,5.0,7910,0.0
2022-02-17_14:25:01.000000,0.4987531172069737,7940,5.0,7940,0.0
2022-02-22_07:00:00.000000,0.5037783375314797,7910,0.078332,7770,-1.7699115044247815
2022-02-22_07:00:18.000000,0.5037783375314797,7740,5.0,7750,0.12919896640826156
2022-02-22_07:03:57.000000,0.49999999999998934,7770,5.0,7780,0.12870012870012104
2022-02-22_14:58:55.000000,0.5025125628140614,7860,5.0,7860,0.0
2022-02-23_13:14:12.000000,0.5089058524172962,7780,5.0,7780,0.0
2022-02-24_07:30:00.000000,0.8426966292134797,7050,0.142493,7080,0.42553191489360653
2022-02-24_07:32:26.000000,0.5494505494505475,7190,0.574388,7210,0.2781641168289273
2022-02-24_07:33:18.000000,0.5420054200542035,7280,0.902873,7300,0.27472527472527375
2022-02-24_07:33:19.000000,0.5420054200542035,7270,0.902097,7290,0.27510316368637433
2022-02-24_07:33:37.000000,0.5434782608695565,7290,0.778223,7310,0.274348422496562
2022-02-24_07:33:57.000000,0.8196721311475308,7320,0.308292,7300,-0.2732240437158473
2022-02-24_07:34:31.000000,0.8287292817679592,7220,0.355963,7240,0.27700831024930483
2022-02-24_07:37:24.000000,1.3513513513513598,7320,0.929474,7300,-0.2732240437158473
2022-02-24_07:38:37.000000,0.5434782608695565,7240,0.531273,7220,-0.2762430939226568
2022-02-24_07:41:03.000000,0.8219178082191858,7240,0.32452,7220,-0.2762430939226568
2022-02-24_07:50:42.000000,0.5434782608695565,7250,0.295155,7230,-0.27586206896551557
2022-02-24_08:27:06.000000,0.5420054200542035,7240,5.0,7240,0.0
2022-02-24_08:29:07.000000,0.5449591280654031,7230,5.0,7230,0.0
2022-02-24_08:52:23.000000,0.5509641873278293,7140,5.0,7140,0.0
2022-02-24_10:15:31.000000,0.56657223796035,7010,5.0,7000,-0.14265335235378318
2022-02-24_10:22:02.000000,0.5649717514124353,7010,5.0,7010,0.0
2022-02-24_10:28:21.000000,0.5649717514124353,7000,5.0,7000,0.0
2022-02-25_07:00:00.000000,1.1235955056179803,6990,0.073013,7150,2.2889842632331847
2022-02-25_07:00:01.000000,0.8403361344537785,7150,0.420984,7130,-0.2797202797202747
2022-02-25_07:00:02.000000,0.8379888268156499,7120,0.721759,7100,-0.2808988764044895
2022-02-25_07:00:05.000000,0.5586592178770999,7090,0.215213,7070,-0.28208744710860323
2022-02-25_07:00:10.000000,0.5586592178770999,7080,0.23021,7050,-0.4237288135593209
2022-02-25_07:00:27.000000,0.5586592178770999,7060,0.205435,7080,0.28328611898016387
2022-02-25_07:16:25.000000,0.561797752808979,7040,5.0,7040,0.0
2022-02-25_11:36:45.000000,0.5479452054794498,7140,5.0,7140,0.0
2022-02-25_11:47:26.000000,0.5524861878453136,7140,5.0,7130,-0.1400560224089631
2022-02-25_12:26:57.000000,0.5464480874316946,7160,5.0,7160,0.0
2022-02-25_12:28:48.000000,0.5464480874316946,7170,5.0,7170,0.0
2022-02-25_13:27:24.000000,0.5434782608695565,7230,5.0,7230,0.0
